Provinsi / Kabupaten / Kota,2017,2016,2015,2014,2013,2012,2011,2010
DKI JAKARTA,17707,17468,17075.43,16898,16828,16613,15943,15111
KEPULAUAN SERIBU,11833,11608,11432.92,11316,11253,11180,10653,10398
KODYA JAKARTA SELATAN,23098,22932,22424.62,22208,22067,21628,20744,19804
KODYA JAKARTA TIMUR,17007,16733,16455.3,16248,16181,16101,15563,14960
KODYA JAKARTA PUSAT,16719,16493,16143.25,15922,15820,15591,15362,14837
KODYA JAKARTA BARAT,19695,19501,19005.59,18897,18794,18344,17436,16218
KODYA JAKARTA UTARA,17763,17418,17204.92,16959,16851,16605,15903,14923
JAWA BARAT,10285,10035,9777.61,9447,9421,9325,9249,9174
BOGOR,9901,9537,9368.39,9066,9041,9000,8960,8952
SUKABUMI,8263,8077,7848.53,7824,7800,7700,7684,7659
CIANJUR,7300,7074,6876.62,6733,6694,6553,6496,6431
BANDUNG,9854,9580,9375.21,8999,8978,8846,8797,8740
GARUT,7270,7079,6875.09,6372,6355,6233,6195,6150
TASIKMALAYA,7250,7081,6934.28,6830,6818,6699,6664,6620
CIAMIS,8658,8432,8295.76,8162,8147,8007,7951,7888
KUNINGAN,8736,8580,8516.1,8393,8348,8248,8231,8205
CIREBON,9650,9463,9261.3,9013,9002,8905,8890,8866
MAJALENGKA,8833,8594,8477.14,8233,8194,8049,7987,7918
SUMEDANG,9569,9339,9279.32,8844,8828,8699,8653,8598
INDRAMAYU,9014,8866,8768.97,8668,8644,8404,8356,8299
SUBANG,10206,10012,9830.96,9287,9266,9115,9048,8973
PURWAKARTA,10941,10732,10549.58,10521,10492,10333,10111,9684
KARAWANG,10703,10379,10216.85,9768,9755,9671,9525,9441
BEKASI,10790,10435,10322.5,10232,10207,10040,9946,9881
BANDUNG BARAT,8002,7698,7522.14,7188,7112,6976,6788,6702
PANGANDARAN,8588,8312,8265.02,8232,8200,-,-,-
KOTA BOGOR,10940,10662,10576.37,10532,10488,10440,10265,10148
KOTA SUKABUMI,10188,9819,9729.44,9641,9609,9467,9411,9294
KOTA BANDUNG,16033,15805,15608.85,15048,14957,14763,14700,14629
KOTA CIREBON,11100,10824,10732.45,10606,10563,10369,10332,10285
KOTA BEKASI,15378,15236,15115.83,14558,14475,14342,14187,14164
KOTA DEPOK,14727,14560,14424.49,14239,14161,14080,13839,13748
KOTA CIMAHI,11353,11141,11011.88,10681,10622,10474,10428,10364
KOTA TASIKMALAYA,9497,9145,8784.81,8210,8158,8013,7909,7828
KOTA BANJAR,9987,9815,9475.6,9439,9402,9219,9121,9051
